height_m,volts,inH20,pa,mps
0.026797,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0271145,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.027432,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0277495,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.028067,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.0283845,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.028702,0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.0290195,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.029337,0.032,0.258536177394342,64.2768357656284,10.2441091695948
0.0296545,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.029972,0.029,0.249478275318312,62.0248751696686,10.0630563109736
